entry_id,specimen_id,specimen_scale,source,title,authors,year,frm_h,frm_l,col_h,col_d,bm_h,bm_t,bbm_h,bbm_t,slb_d,slb_h,col_ext,bm_ext,bbm_ext,inf_type,inf_opn_type,inf_win_h,inf_win_v,inf_win_ph,inf_win_pv,inf_door_h,inf_door_v,inf_door_ph,inf_door_pv,inf_dp,inf_bnd_pat,inf_inff_intfc,inf_interface_bottom,inf_interface_left,inf_interface_top,inf_interface_right,inf_ul,inf_uh,inf_ut,inf_uhead_t,inf_ubed_t,col_cover,col_long_reinf_corner,col_long_reinf_top,col_long_reinf_mid,col_long_reinf_bot,col_trans_crit_top_distance,col_trans_crit_top_reinf,col_trans_crit_bot_distance,col_trans_crit_bot_reinf,col_trans_mid_reinf,bm_cover,bm_long_reinf_corner,bm_long_reinf_top,bm_long_reinf_mid,bm_long_reinf_bot,bm_trans_crit_left_distance,bm_trans_crit_left_reinf,bm_trans_crit_right_distance,bm_trans_crit_right_reinf,bm_trans_mid_reinf,bbm_cover,bbm_long_reinf_corner,bbm_long_reinf_top,bbm_long_reinf_mid,bbm_long_reinf_bot,bbm_trans_crit_left_distance,bbm_trans_crit_left_reinf,bbm_trans_crit_right_distance,bbm_trans_crit_right_reinf,bbm_trans_mid_reinf,slb_cover,slb_top_l_reinf,slb_top_d_reinf,slb_bot_l_reinf,slb_bot_d_reinf,fc,Ec,conc_prop_day,conc_density,fy,fu,Ey,stl_density,inf_unit_density,inf_mortar_density,inf_unit_compressive_strength_length,inf_unit_compressive_strength_height,inf_unit_compressive_strength_width,inf_mortar_type,inf_mortar_compressive_strength,inf_assembly_compressive_strength_height,inf_assembly_compressive_strength_diagonal,inp_loading_protocol,inp_cyclic_number_of_cycles,inp_cyclic_repetition,inp_cyclic_protocol,inp_column_vertical_load,inp_beam_vertical_load,oop_loading_protocol,oop_cyclic_number_of_cycles,oop_cyclic_repetition,oop_cyclic_protocol,oop_column_vertical_load,oop_beam_vertical_load,glb_initial_stiffness,glb_peak_lateral_load,glb_drift_at_peak_lateral_load,glb_peak_lateral_drift,glb_load_at_peak_lateral_drift,glb_energy_dissipation,glb_failure_mode,lcl_crack_pattern,lcl_failure_mechanism,lcl_damage_progression,lcl_strain_distribution,retrofit_techniques,comments
ID,,,,,,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,,,mm,mm,mm,mm,mm,mm,mm,mm,mm,,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,MPa,GPa,day,kg/m^3,MPa,MPa,GPa,kg/m^3,kg/m^3,kg/m^3,MPa,MPa,MPa,,MPa,MPa,MPa,,,,,kN,kN/m,,,,,kN,kN/m,kN/m,kN,ratio,ratio,kN,kJ,,,,,,,
1,SIF-I-A,0.54,https://www.researchgate.net/publication/328412733_In-Plane_Strengthening_of_Masonry_Infills_using_TRM_Technique,In-Plane Strengthening of Masonry Infills using TRM Technique,"Farhad Akhoundi, Graça Vasconcelos, Paulo Lourenço",2018,1905,2735,160.0,160.0,270.0,160.0,270.0,160.0,0.0,0.0,0.0,0.0,200.0,two_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,running,mortar_bond,10,10,10,10,175,115,80,10,10,17.0,4#8,1#6,2#6,1#6,0.0,0#0@0,0.0,0#0@0,#4@70,30.0,4#6,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4@120,30.0,4#6,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4@120,0.0,0#0@0,0#0@0,0#0@0,0#0@0,25,30.0,28,2400,400.0,500.0,0.0,7850.0,1400,1800,2.53,1.57,1.83,M5,5.0,1.17,0.24,cyclic,2,increasing,FEMA461,80.0,0,none,0,none,none,0.0,0.0,33400.0,133.9,0.0054,0.025,75.0,0.0,Diagonal cracking of masonry infill with frame-infill separation and brick crushing,"Stair-stepped diagonal cracks along unit-mortar interfaces, separation at frame-infill interface, horizontal sliding cracks",Diagonal strut mechanism with progressive separation from RC frame and crushing of brick units adjacent to frame interface,"Early frame-infill separation, followed by diagonal cracking, then crushing of bricks near frame interface with plastic hinge formation in RC columns","High shear strains along diagonal strut path, concentration of compressive strains at loaded corners with tension at opposite corners",No retrofit techniques were applied to specimen SIF-I-A as it represents the control unstrengthened specimen tested until collapse to serve as baseline for comparison with TRM-strengthened specimens.,"1. The beam and base beam reinforcement need manual edit before usage as there are 2 cross-sections (refer to manuscript for details).
2. The external leaf geometry and properties are defined. User need manually define the internal leaf geometry and properties"
2,Frame A,1.0,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003098508-137/preliminary-plane-shear-test-infills-protected-pufj-interfaces-akyildiz-kwiecie%C5%84-zaj%C4%85c-triller-bohinc-rousakis-viskovic,Preliminary in-plane shear test of infills protected by PUFJ interfaces,"A.T. Akyildiz, A. Kwiecień, B. Zając, P. Triller, U. Bohinc, T. Rousakis, A. Viskovic",2020,2450.0,2700.0,250.0,250.0,250.0,250.0,400,300,0.0,0.0,300,300,425,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,running,none,30,3,3,3,250.0,240.0,100.0,3.0,3.0,25,4#16,1#16,2#16,1#16,0.0,0#0@0,0.0,0#0@0,2#10@100,25,4#14,1#14,2#14,1#14,0.0,0#0@0,0.0,0#0@0,#10@100,25,4#25,2#20,2#16,2#20,0.0,0#0@0,0.0,0#0@0,#10@100,0.0,0#0@0,0#0@0,0#0@0,0#0@0,46.9,0.0,0.0,0.0,540.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M10,30.4,0.0,0.0,cyclic,3,increasing,none,375.0,0.0,none,0,none,none,0.0,0.0,0.0,165,0.016,0.016,165,0.0,Frame A exhibited brittle failure mode with complete connection detachment along boundary zones,"Corner cracking occurred primarily at the boundaries where masonry infill wall met the RC frame columns and beam, with crack patterns developing from stress concentrations at the stiff mortar connections, particularly at the upper corners of the infill walls.","The failure mechanism involved stress concentration at the rigid mortar interfaces causing progressive crushing of masonry units at the boundaries, leading to complete detachment between frame and infill elements due to the brittle nature of cementitious mortar connections under cyclic loading.","Damage progression began with minor cracking at corners under low drift levels, escalated to significant crushing and detachment at 1.6% drift ratio where connection loss occurred across all boundaries, ultimately leading to complete separation of infill from frame elements.","Strain was highly localized at the boundary regions where stiff mortar connections occurred, with maximum strain concentrations at the corners and edges of the infill wall, while central masonry zones showed minimal strain due to stress redistribution at the brittle interfaces.",No retrofitting techniques were applied to Frame A as it served as the reference baseline for comparison with PUFJ-protected frames,none
3,Frame B,1.0,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003098508-137/preliminary-plane-shear-test-infills-protected-pufj-interfaces-akyildiz-kwiecie%C5%84-zaj%C4%85c-triller-bohinc-rousakis-viskovic,Preliminary in-plane shear test of infills protected by PUFJ interfaces,"A.T. Akyildiz, A. Kwiecień, B. Zając, P. Triller, U. Bohinc, T. Rousakis, A. Viskovic",2020,2450.0,2700.0,250.0,250.0,250.0,250.0,400,300,0.0,0.0,300,300,425,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,running,seismic_joint,0.0,20.0,20.0,20.0,250.0,240.0,100.0,3.0,3.0,25,4#16,1#16,2#16,1#16,0.0,0#0@0,0.0,0#0@0,2#10@100,25,4#14,1#14,2#14,1#14,0.0,0#0@0,0.0,0#0@0,#10@100,25,4#25,2#20,2#16,2#20,0.0,0#0@0,0.0,0#0@0,#10@100,0.0,0#0@0,0#0@0,0#0@0,0#0@0,46.9,0.0,0.0,0.0,540.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M10,30.4,0.0,0.0,cyclic,3,increasing,none,375.0,0.0,none,0,none,none,0.0,0.0,0.0,192.8,0.035,0.035,134.5,0.0,"Frame B exhibited ductile behavior with corner crushing of the infill wall and marginal load drop at 3.5% drift, successfully preventing out-of-plane failure despite connection loss at boundaries.","Corner crushing occurred at the infill wall boundaries where the PUFJ interfaces were located, with crack patterns developing primarily at the upper and side edges of the masonry units.","The failure mechanism involved stress concentration at the corners due to stress redistribution, leading to local crushing of the masonry units at the PUFJ interfaces while the flexible joints maintained bonding in central regions.","Damage initiated with minor cracking at corners under low drift levels, progressed to visible crushing at 3.5% drift ratio, but remained localized without causing complete detachment or out-of-plane failure.","Strain was highly concentrated at the corner regions where PUFJ interfaces occurred, with relatively uniform strain distribution in the central zones of the infill wall and frame connections.","Frame B utilized PolyUrethane Flexible Joints (PUFJ) by creating 2 cm gaps at three sides (top, right, and left) of the infill wall and filling them with polyurethane injection. The PUFJ implementation involved cutting precise gaps in the existing masonry construction to accommodate the flexible joint system. This technique was applied to retrofit an existing building structure with traditional mortar connections. The PUFJ joints provided flexibility at the frame-infill interfaces while maintaining structural integrity.",none
4,Frame C,1.0,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003098508-137/preliminary-plane-shear-test-infills-protected-pufj-interfaces-akyildiz-kwiecie%C5%84-zaj%C4%85c-triller-bohinc-rousakis-viskovic,Preliminary in-plane shear test of infills protected by PUFJ interfaces,"A.T. Akyildiz, A. Kwiecień, B. Zając, P. Triller, U. Bohinc, T. Rousakis, A. Viskovic",2020,2450.0,2700.0,250.0,250.0,250.0,250.0,400,300,0.0,0.0,300,300,300,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,running,seismic_joint,20.0,20.0,20.0,20.0,250.0,240.0,100.0,3.0,3.0,25,4#16,1#16,2#16,1#16,0.0,0#0@0,0.0,0#0@0,2#10@100,25,4#14,1#14,2#14,1#14,0.0,0#0@0,0.0,0#0@0,#10@100,25,4#25,2#20,2#16,2#20,0.0,0#0@0,0.0,0#0@0,#10@100,0.0,0#0@0,0#0@0,0#0@0,0#0@0,46.9,0.0,0.0,0.0,540.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M10,30.4,0.0,0.0,cyclic,3,increasing,none,375.0,0.0,none,0,none,none,0.0,0.0,0.0,225,0.042,0.044,164.6,0.0,"Frame C exhibited excellent ductility with only corner crushing damage to the infill wall and no structural failure of the RC frame, successfully preventing out-of-plane collapse even at the maximum drift ratio of 4.4%.","Corner crushing was observed on the infill wall, consistent with the brittle behavior typical of masonry under cyclic loading.","The failure mechanism involved localized crushing at wall corners due to stress concentrations, but the PUFJ joints prevented complete detachment and out-of-plane failure.",Damage initiated with corner crushing at lower drift ratios and progressed gradually without sudden catastrophic failure or complete separation between infill and frame.,"Strain was concentrated at wall corners and interfaces, while the central zones maintained bonding due to the hyper-elastic properties of the PUFJ material.","The retrofit technique involved implementing PolyUrethane Flexible Joints (PUFJ) as seismic joints around the infill-wall frame interfaces. For Frame C, precast PUFJ laminates with 2 cm thickness were installed on the internal perimeter of the bare-frame before masonry construction. The joints allowed for controlled movement and prevented brittle failure at connections. This approach replaced traditional rigid mortar connections with flexible polymer-based joints that could accommodate large drifts without losing structural integrity.",none
5,1,0.5,https://doi.org/10.1061/(ASCE)0733-9445(2002)128:8(1055),Behavior of Masonry-Infilled Nonductile Reinforced Concrete Frames,"Authors: Ghassan Al-Chaar, Mohsen Issa, Steve Sweeney",2002,1524.0,2235.0,203.0,127.0,197.0,127.0,381.0,610.0,0.0,0.0,281,381,406.5,none,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4#9.525,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,2#9.525,1#9.525,0.0,0#0@0,0.0,0#0@0,#4.88@200,0.0,0#0@0,0#0@0,0#0@0,0#0@0,38.4,29.9,28,0.0,338.5,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,monotonic,0,none,none,0.0,0.0,none,0,none,none,0.0,0.0,4000.0,34.3,0.0387,0.0971,25.68,0.0,Brittle failure in concrete followed by inelastic deformation of reinforcement under shear deformation,"Cracks begin at beam-column joint tension side, then tension cracks in compression column, shear cracks",Brittle concrete failure with plastic deformation of longitudinal steel at tension joint crack,none,none,none,none
6,2,0.5,https://doi.org/10.1061/(ASCE)0733-9445(2002)128:8(1055),Behavior of Masonry-Infilled Nonductile Reinforced Concrete Frames,"Authors: Ghassan Al-Chaar, Mohsen Issa, Steve Sweeney",2002,1524.0,2235.0,203.0,127.0,197.0,127.0,381.0,610.0,0.0,0.0,281,381,406.5,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,running,mortar_bond,10,10,10,10,320,91.3,69,10.0,10.0,19,4#9.525,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,2#9.525,1#9.525,0.0,0#0@0,0.0,0#0@0,#4.88@200,0.0,0#0@0,0#0@0,0#0@0,0#0@0,38.4,29.9,28,0.0,338.5,0.0,200,0.0,0.0,0.0,0.0,12.9,0.0,N,10.46,1.51,0.0,monotonic,0,none,none,0.0,0.0,none,0,none,none,0.0,0.0,95800.0,84.1,0.0076,0.096,76,0.0,Frictional or sliding-based plate formation,"First crack at 10.2 mm, diagonal stair cracking in infill, horizontal crack in infill, shear crack at top of front column","Plate formation through frictional sliding, with CMU crushing",none,none,none,none
7,3,0.5,https://doi.org/10.1061/(ASCE)0733-9445(2002)128:8(1055),Behavior of Masonry-Infilled Nonductile Reinforced Concrete Frames,"Authors: Ghassan Al-Chaar, Mohsen Issa, Steve Sweeney",2002,1524.0,2235.0,203.0,127.0,197.0,127.0,381.0,610.0,0.0,0.0,281,381,406.5,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,running,mortar_bond,10,10,10,10,129.9,59.3,48,10.0,10.0,19,4#9.525,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,2#9.525,1#9.525,0.0,0#0@0,0.0,0#0@0,#4.88@200,0.0,0#0@0,0#0@0,0#0@0,0#0@0,38.4,29.9,28,0.0,338.5,0.0,200,0.0,0.0,0.0,0.0,80.9,0.0,N,10.46,26.7,0.0,monotonic,0,none,none,0.0,0.0,none,0,none,none,0.0,0.0,71800.0,89,0.0029,0.096,76,0.0,Strut formation (diagonal shear cracks),"First crack in back column top, diagonal crack along diagonal of brick infill, parallel diagonal cracks",Strut formation due to high compressive strength to shear strength ratio (nearly 30:1),none,none,none,none
8,4,0.5,https://doi.org/10.1061/(ASCE)0733-9445(2002)128:8(1055),Behavior of Masonry-Infilled Nonductile Reinforced Concrete Frames,"Authors: Ghassan Al-Chaar, Mohsen Issa, Steve Sweeney",2002,1524.0,2235.0,203.0,127.0,197.0,127.0,381.0,610.0,0.0,0.0,281,381,406.5,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,running,mortar_bond,10,10,10,10,320,91.3,69,10.0,10.0,19,4#9.525,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,2#9.525,1#9.525,0.0,0#0@0,0.0,0#0@0,#4.88@200,0.0,0#0@0,0#0@0,0#0@0,0#0@0,38.4,29.9,28,0.0,338.5,0.0,200,0.0,0.0,0.0,0.0,12.9,0.0,N,10.46,1.51,0.0,monotonic,0,none,none,0.0,0.0,none,0,none,none,0.0,0.0,142600.0,317.6,0.0078,0.075,196,0.0,Corner crushing of infill,"Various patterns including shear cracks, tension cracks, corner crushing","Corner crushing, strut formation, plate formation",none,none,none,Need additional one bay manually.
9,5,0.5,https://doi.org/10.1061/(ASCE)0733-9445(2002)128:8(1055),Behavior of Masonry-Infilled Nonductile Reinforced Concrete Frames,"Authors: Ghassan Al-Chaar, Mohsen Issa, Steve Sweeney",2002,1524.0,2235.0,203.0,127.0,197.0,127.0,381.0,610.0,0.0,0.0,281,381,406.5,one_wythe,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,running,mortar_bond,10,10,10,10,129.9,59.3,48,10.0,10.0,19,4#9.525,0#0,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,0#0,0#0,0.0,0#0@0,0.0,0#0@0,#4.88@127,19,4#9.525,1#9.525,2#9.525,1#9.525,0.0,0#0@0,0.0,0#0@0,#4.88@200,0.0,0#0@0,0#0@0,0#0@0,0#0@0,38.4,29.9,28,0.0,338.5,0.0,200,0.0,0.0,0.0,0.0,85.2,0.0,N,10.46,26.7,0.0,monotonic,0,none,none,0.0,0.0,none,0,none,none,0.0,0.0,161600.0,369.2,0.003,0.082,318,0.0,Shear failure across entirety,"Various patterns including shear cracks, tension cracks, corner crushing","Corner crushing, strut formation, plate formation",none,none,none,Need additionally two bays manually.
